电影代码: 00100072025, 电影名: 哪吒之魔童闹海, 上映天数: 34
[0.33, 0.00%, 0.01%, 0]
[1.42, 0.00%, 0.01%, 6]
[1.76, 0.00%, 0.00%, 5]
[0.59, 0.00%, 0.01%, 4]
[0.73, 0.00%, 0.01%, 3]
[0.44, 0.00%, 0.00%, 2]
[0.35, 0.00%, 0.00%, 1]
[0.39, 0.00%, 0.00%, 0]
[0.36, 0.00%, 0.00%, 6]
[16.60, 0.02%, 0.00%, 5]
[1.48, 0.00%, 0.00%, 4]
[0.63, 0.00%, 0.01%, 3]
[0.63, 0.00%, 0.01%, 2]
[0.45, 0.00%, 0.01%, 1]
[1.37, 0.00%, 0.01%, 0]
[1.46, 0.00%, 0.00%, 6]
[0.61, 0.00%, 0.00%, 5]
[0.56, 0.00%, 0.00%, 4]
[0.42, 0.00%, 0.00%, 3]
[0.29, 0.00%, 0.00%, 2]
[0.51, 0.00%, 0.00%, 1]
[0.42, 0.00%, 0.00%, 0]
[0.52, 0.00%, 0.00%, 6]
电影代码: 00106542024, 电影名: 边海, 上映天数: 18
[0.26, 0.01%, 0.02%, 0]
[0.11, 0.00%, 0.01%, 6]
[0.39, 0.00%, 0.01%, 5]
[4.77, 0.04%, 0.02%, 4]
[1.88, 0.03%, 0.03%, 3]
[1.47, 0.02%, 0.03%, 2]
[1.65, 0.02%, 0.02%, 1]
[0.93, 0.01%, 0.02%, 0]
[0.29, 0.00%, 0.01%, 6]
[0.30, 0.00%, 0.02%, 5]
[4.26, 0.02%, 0.03%, 4]
[1.41, 0.01%, 0.04%, 3]
[1.06, 0.01%, 0.05%, 2]
[0.73, 0.00%, 0.05%, 1]
[2.07, 0.01%, 0.10%, 0]
[1.58, 0.00%, 1.09%, 6]
[1.70, 0.00%, 0.83%, 5]
[16.16, 0.02%, 1.93%, 4]
[1.12, 0.00%, 0.00%, 3]
[1.61, 0.00%, 0.00%, 2]
[1.31, 0.00%, 0.00%, 1]
[1.09, 0.00%, 0.01%, 0]
[1.27, 0.00%, 0.00%, 6]
[<0.1, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[0.26, 0.01%, 0.02%, 0]
[0.11, 0.00%, 0.01%, 6]
[0.39, 0.00%, 0.01%, 5]
[4.77, 0.04%, 0.02%, 4]
[1.88, 0.03%, 0.03%, 3]
[1.47, 0.02%, 0.03%, 2]
[1.65, 0.02%, 0.02%, 1]
[0.93, 0.01%, 0.02%, 0]
[0.29, 0.00%, 0.01%, 6]
[0.30, 0.00%, 0.02%, 5]
[4.26, 0.02%, 0.03%, 4]
[1.41, 0.01%, 0.04%, 3]
[1.06, 0.01%, 0.05%, 2]
[0.73, 0.00%, 0.05%, 1]
[2.07, 0.01%, 0.10%, 0]
电影代码: 00102412024, 电影名: 昆岗的号角, 上映天数: 96
[0.25, 0.01%, 0.00%, 0]
[0.42, 0.00%, 0.00%, 4]
[0.49, 0.01%, 0.00%, 3]
[0.35, 0.00%, 0.00%, 2]
[0.14, 0.00%, 0.00%, 1]
[0.49, 0.01%, 0.00%, 0]
[0.62, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 2]
电影代码: 00106372023, 电影名: 椰林深处, 上映天数: 84
[0.16, 0.00%, 0.00%, 0]
[2.06, 0.02%, 0.00%, 4]
[0.13, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[1.18, 0.00%, 0.00%, 4]
[0.11, 0.00%, 0.00%, 3]
电影代码: 00108692023, 电影名: 大突围, 上映天数: 95
[0.12, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 5]
[1.33, 0.01%, 0.00%, 4]
[0.49, 0.01%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.00%, 0]
[<0.1, 0.00%, 0.00%, 2]
电影代码: 00103992024, 电影名: 碟仙玩偶, 上映天数: 53
[<0.1, 0.00%, 0.02%, 0]
[<0.1, 0.00%, 0.01%, 6]
[0.29, 0.00%, 0.01%, 5]
[0.11, 0.00%, 0.02%, 4]
[0.32, 0.00%, 0.03%, 3]
[0.42, 0.01%, 0.03%, 2]
[0.49, 0.01%, 0.03%, 1]
[0.52, 0.01%, 0.03%, 0]
[0.65, 0.00%, 0.02%, 6]
[1.30, 0.00%, 0.02%, 5]
[1.38, 0.01%, 0.03%, 4]
[0.96, 0.01%, 0.04%, 3]
[1.04, 0.01%, 0.04%, 2]
[1.34, 0.01%, 0.03%, 1]
[1.26, 0.01%, 0.03%, 0]
[1.31, 0.00%, 0.03%, 6]
[1.82, 0.00%, 0.02%, 5]
[3.03, 0.00%, 0.02%, 4]
[1.34, 0.00%, 0.03%, 3]
[1.39, 0.00%, 0.03%, 2]
[1.40, 0.00%, 0.03%, 1]
[1.30, 0.00%, 0.03%, 0]
[1.33, 0.00%, 0.03%, 6]
[1.56, 0.00%, 0.03%, 5]
[1.39, 0.00%, 0.03%, 4]
[1.56, 0.00%, 0.03%, 3]
[1.60, 0.00%, 0.02%, 2]
[1.22, 0.00%, 0.02%, 1]
[1.15, 0.00%, 0.02%, 0]
[1.21, 0.00%, 0.01%, 6]
电影代码: 00103122022, 电影名: 天龙押运, 上映天数: 74
[<0.1, 0.00%, 0.00%, 0]
[0.20, 0.00%, 0.00%, 6]
[0.20, 0.00%, 0.00%, 5]
[0.19, 0.00%, 0.00%, 4]
[0.13, 0.00%, 0.00%, 3]
[0.16, 0.00%, 0.00%, 2]
[0.16, 0.00%, 0.00%, 1]
[0.16, 0.00%, 0.00%, 0]
[0.57, 0.00%, 0.00%, 6]
[0.31, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[0.35, 0.00%, 0.00%, 0]
[0.75, 0.00%, 0.00%, 6]
[1.39, 0.00%, 0.00%, 5]
[0.54, 0.00%, 0.00%, 4]
[0.66, 0.00%, 0.00%, 3]
[2.25, 0.00%, 0.00%, 2]
[1.24, 0.00%, 0.00%, 1]
[1.57, 0.00%, 0.00%, 0]
[1.13, 0.00%, 0.00%, 6]
[1.30, 0.00%, 0.00%, 5]
[0.64, 0.00%, 0.00%, 4]
[0.79, 0.00%, 0.00%, 3]
[0.83, 0.00%, 0.00%, 2]
[1.77, 0.00%, 0.00%, 1]
[2.22, 0.00%, 0.00%, 0]
[1.11, 0.00%, 0.00%, 6]
电影代码: 01202152024, 电影名: 穿越时空的少女, 上映天数: 52
[<0.1, 0.00%, 0.00%, 0]
[0.17, 0.00%, 0.00%, 6]
[0.13, 0.00%, 0.00%, 5]
[<0.1, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[<0.1, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[0.10, 0.00%, 0.00%, 0]
[0.21, 0.00%, 0.00%, 6]
[0.39, 0.00%, 0.00%, 5]
[0.12, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[0.12, 0.00%, 0.00%, 2]
[0.10, 0.00%, 0.01%, 1]
[0.10, 0.00%, 0.00%, 0]
[0.57, 0.00%, 0.00%, 6]
[0.36, 0.00%, 0.00%, 5]
[0.13, 0.00%, 0.00%, 4]
[0.16, 0.00%, 0.00%, 3]
[0.11, 0.00%, 0.00%, 2]
[0.18, 0.00%, 0.01%, 1]
[0.69, 0.00%, 0.01%, 0]
[0.68, 0.00%, 0.01%, 6]
